Date,Hour,Floor,User-Group,User-Count,WiFi-Conn
2020-06-01,09,LG3,Staff,14,24
2020-06-01,09,LG3,TPG,7,16
2020-06-01,09,LG3,Total,33,86
2020-06-01,09,LG3,UG,9,37
2020-06-01,09,LG4,Alumni,3,7
2020-06-01,09,LG4,Non-HKUST,1,3
2020-06-01,09,LG4,Others(HKUST),2,3
2020-06-01,09,LG4,RPG,2,7
2020-06-01,09,LG4,Staff,10,23
2020-06-01,09,LG4,TPG,5,27
2020-06-01,09,LG4,Total,30,109
2020-06-01,09,LG4,UG,7,39
2020-06-01,10,1,Alumni,1,5
2020-06-01,10,1,Non-HKUST,0,0
2020-06-01,10,1,Others(HKUST),2,5
2020-06-01,10,1,RPG,6,33
2020-06-01,10,1,Staff,36,120
2020-06-01,10,1,TPG,6,15
2020-06-01,10,1,Total,58,213
2020-06-01,10,1,UG,7,35
2020-06-01,10,All-Floors,Alumni,6,17
2020-06-01,10,All-Floors,Non-HKUST,3,6
2020-06-01,10,All-Floors,Others(HKUST),6,24
2020-06-01,10,All-Floors,RPG,27,120
2020-06-01,10,All-Floors,Staff,88,331
2020-06-01,10,All-Floors,TPG,52,262
2020-06-01,10,All-Floors,Total,263,1163
2020-06-01,10,All-Floors,UG,81,403
2020-06-01,10,G,Alumni,2,7
2020-06-01,10,G,Non-HKUST,0,0
2020-06-01,10,G,Others(HKUST),2,4
2020-06-01,10,G,RPG,11,34
2020-06-01,10,G,Staff,36,101
2020-06-01,10,G,TPG,19,70
2020-06-01,10,G,Total,92,283
2020-06-01,10,G,UG,22,67
2020-06-01,10,LG1,Alumni,0,0
2020-06-01,10,LG1,Non-HKUST,2,4
2020-06-01,10,LG1,Others(HKUST),2,11
2020-06-01,10,LG1,RPG,8,37
2020-06-01,10,LG1,Staff,21,77
2020-06-01,10,LG1,TPG,20,111
2020-06-01,10,LG1,Total,100,455
2020-06-01,10,LG1,UG,47,215
2020-06-01,10,LG3,Alumni,0,0
2020-06-01,10,LG3,Non-HKUST,0,0
2020-06-01,10,LG3,Others(HKUST),0,0
2020-06-01,10,LG3,RPG,3,8
2020-06-01,10,LG3,Staff,8,19
2020-06-01,10,LG3,TPG,8,40
2020-06-01,10,LG3,Total,30,110
2020-06-01,10,LG3,UG,11,43
2020-06-01,10,LG4,Alumni,3,5
2020-06-01,10,LG4,Non-HKUST,1,2
2020-06-01,10,LG4,Others(HKUST),2,4
2020-06-01,10,LG4,RPG,2,8
2020-06-01,10,LG4,Staff,7,14
2020-06-01,10,LG4,TPG,6,26
2020-06-01,10,LG4,Total,28,102
2020-06-01,10,LG4,UG,7,43
2020-06-01,11,1,Alumni,1,6
2020-06-01,11,1,Non-HKUST,0,0
2020-06-01,11,1,Others(HKUST),2,3
2020-06-01,11,1,RPG,8,32
2020-06-01,11,1,Staff,38,110
2020-06-01,11,1,TPG,8,29
2020-06-01,11,1,Total,70,227
2020-06-01,11,1,UG,13,47
2020-06-01,11,All-Floors,Alumni,9,42
2020-06-01,11,All-Floors,Non-HKUST,5,17
2020-06-01,11,All-Floors,Others(HKUST),7,22
2020-06-01,11,All-Floors,RPG,35,117
2020-06-01,11,All-Floors,Staff,89,291
2020-06-01,11,All-Floors,TPG,59,275
2020-06-01,11,All-Floors,Total,325,1348
2020-06-01,11,All-Floors,UG,121,584
2020-06-01,11,G,Alumni,2,8
2020-06-01,11,G,Non-HKUST,1,4
2020-06-01,11,G,Others(HKUST),2,3
2020-06-01,11,G,RPG,12,33
2020-06-01,11,G,Staff,37,104
2020-06-01,11,G,TPG,20,57
2020-06-01,11,G,Total,108,316
2020-06-01,11,G,UG,34,107
2020-06-01,11,LG1,Alumni,2,5
2020-06-01,11,LG1,Non-HKUST,2,5
2020-06-01,11,LG1,Others(HKUST),2,12
2020-06-01,11,LG1,RPG,11,29
2020-06-01,11,LG1,Staff,21,57
2020-06-01,11,LG1,TPG,24,104
2020-06-01,11,LG1,Total,126,508
2020-06-01,11,LG1,UG,64,296
2020-06-01,11,LG3,Alumni,3,20
2020-06-01,11,LG3,Non-HKUST,0,0
2020-06-01,11,LG3,Others(HKUST),0,0
2020-06-01,11,LG3,RPG,5,15
2020-06-01,11,LG3,Staff,10,15
2020-06-01,11,LG3,TPG,6,38
2020-06-01,11,LG3,Total,39,148
2020-06-01,11,LG3,UG,15,60
2020-06-01,11,LG4,Alumni,2,3
2020-06-01,11,LG4,Non-HKUST,2,8
2020-06-01,11,LG4,Others(HKUST),3,4
2020-06-01,11,LG4,RPG,5,8
2020-06-01,11,LG4,Staff,5,5
2020-06-01,11,LG4,TPG,7,47
2020-06-01,11,LG4,Total,43,149
2020-06-01,11,LG4,UG,19,74
2020-06-01,12,1,Alumni,1,4
2020-06-01,12,1,Non-HKUST,0,0
